"Id"	"Sireid"	"Damid"	"MGdamid"	"MGsireid"	"PGdamid"	"PGsireid"	"Batch"	"Ptype1"	"Ptype2"	"Ptype3"	"Ftype1"	"Ftype2"	"Ftype3"
2042	1009	1109	106	1	134	9	1	382.01	593.13	414.07	72.03	178.81	137.13
2043	1009	1109	106	1	134	9	1	254.98	400.14	486.55	276.02	379.3	339.51
2044	1009	1109	106	1	134	9	1	436.06	367.12	602.1	202.94	310.79	265.18
2045	1009	1109	106	1	134	9	1	456.26	577.21	603.75	184.41	288.85	249.51
2046	1010	1110	106	1	129	9	2	248.86	355.34	373.04	148.4	267.83	185.92
2047	1010	1110	106	1	129	9	2	374.59	592.97	334.08	-13.93	105.87	30.08
2048	1010	1110	106	1	129	9	2	160.74	358.98	69.36	-62.72	55.84	-24.4
2049	1010	1110	106	1	129	9	2	388.02	480.63	500.71	144.54	269.12	190.72
2050	1010	1110	106	1	129	9	2	184.46	254.26	418.45	254.69	381.58	290.23
2051	1011	1111	111	1	148	8	1	311.92	490.4	391.96	117.77	239.3	203.89
2052	1011	1111	111	1	148	8	1	278.17	282.52	280.77	48.09	162.57	123.76
2053	1011	1111	111	1	148	8	1	379.3	502.18	449.56	114.33	225.61	197.89
2054	1011	1111	111	1	148	8	1	230.18	368.06	327.78	132.39	252.45	207.17
2055	1011	1111	111	1	148	8	1	335.05	411.95	381.28	91.36	210.96	167.77
2056	1012	1112	111	1	143	8	2	253.66	358.8	339.21	104.21	177.88	177.09
2057	1012	1112	111	1	143	8	2	298.25	500.41	229.76	-38.52	31.82	23.19
2058	1012	1112	111	1	143	8	2	355.56	450.84	503.34	174.47	252.61	244.15
2059	1012	1112	111	1	143	8	2	264.02	563.61	278.81	42.37	120.72	106.93
2060	1012	1112	111	1	143	8	2	257.56	423.36	309.28	77.71	143.68	140.66
2061	1013	1113	111	1	138	8	1	230.55	212.49	250.21	61.65	162.08	111.04
2062	1013	1113	111	1	138	8	1	207.84	339.22	156.88	-15.49	83.55	25.68
2063	1013	1113	111	1	138	8	1	159.21	353.16	204.87	84.69	183.93	135.33
2064	1013	1113	111	1	138	8	1	247.14	317.43	266.4	67.71	164.69	119.78
2065	1013	1113	111	1	138	8	1	382.5	403.76	330.25	-6.89	92.42	36.82
2066	1014	1114	111	1	133	8	2	312.04	541.07	390.41	106.29	218.23	159.67
2067	1014	1114	111	1	133	8	2	203.96	214.79	321.39	140.37	251.57	192.01
2068	1014	1114	111	1	133	8	2	17.63	122.31	50.75	54.2	168	115.01
2069	1014	1114	111	1	133	8	2	258.21	241.78	282.5	56.5	163.29	117.27
2070	1014	1114	111	1	133	8	2	216.67	266.6	220.33	34.73	144.54	87.59
2071	1015	1115	111	1	128	8	1	260.6	409.83	292.01	81.34	169.38	162.05
2072	1015	1115	111	1	128	8	1	354.65	423.27	441.35	132.05	218.39	200.59
2073	1015	1115	111	1	128	8	1	331.74	391.28	348.77	55.72	141.85	127.47
2074	1015	1115	111	1	128	8	1	273.87	343.56	411.49	180.66	265.02	251.91
2075	1015	1115	111	1	128	8	1	318.79	478.74	316.65	42.39	132.2	115.36
2076	1016	1116	116	1	147	7	2	82.19	227.62	223.5	176.96	285.27	251.3
2077	1016	1116	116	1	147	7	2	362.65	439.97	411.07	72.82	183.5	143.59
2078	1016	1116	116	1	147	7	2	472.52	505.9	554.8	112.61	224.97	191.05
2079	1016	1116	116	1	147	7	2	458.75	528.73	648.82	218.28	329.1	288.1
2080	1016	1116	116	1	147	7	2	211.29	253.2	243.48	63.8	179.69	138.16
2081	1017	1117	116	1	142	7	1	196.36	268.61	255.65	104.87	225.86	155.52
2082	1017	1117	116	1	142	7	1	214.05	260.99	302.32	127.41	261.42	179.55
2083	1017	1117	116	1	142	7	1	363.53	418.76	496.86	176.09	318.18	221.82
2084	1017	1117	116	1	142	7	1	377.65	536.69	505.55	168.91	290.75	219.03
2085	1017	1117	116	1	142	7	1	250.94	311.11	228.16	17.07	146.11	63.47
2086	1018	1118	116	1	137	7	2	211.83	327.78	204.35	23.72	143.37	72.15
2087	1018	1118	116	1	137	7	2	292.2	457.16	499.27	239.09	352.54	280.27
2088	1018	1118	116	1	137	7	2	170.51	166.01	226.61	79.95	202.68	121.37
2089	1018	1118	116	1	137	7	2	231.21	201.57	205.73	3.63	121.12	47.68
2090	1018	1118	116	1	137	7	2	262.89	519.47	298.02	67.89	184.05	113.72
2091	1019	1119	116	1	132	7	1	307.63	312.01	397.61	138.31	260.79	197.54
2092	1019	1119	116	1	132	7	1	251.18	358.11	321.94	115.23	236.57	168.38
2093	1019	1119	116	1	132	7	1	274.17	374.56	454.21	221.88	345.83	282.01
2094	1019	1119	116	1	132	7	1	254.34	355.89	238.94	26.87	146.53	88.89
2095	1019	1119	116	1	132	7	1	369.41	600.72	206.9	-125.98	-2.91	-66.41
2096	1020	1120	116	1	127	7	2	202.44	235.63	346.92	176.04	274	245.59
2097	1020	1120	116	1	127	7	2	183.62	334.04	376.94	216.23	316.63	287.38
2098	1020	1120	116	1	127	7	2	246.99	337.07	181.8	-43.04	49.95	29.08
2099	1020	1120	116	1	127	7	2	313.45	484.48	502.26	215.94	316.06	293.67
2100	1020	1120	116	1	127	7	2	242.17	219.57	268.93	55.78	150.14	125.98
2101	1021	1121	121	1	146	6	1	259.71	294.23	209.69	-12.36	65.63	57.83
2102	1021	1121	121	1	146	6	1	137.41	199.45	404.14	309.79	388.57	379.62
2103	1021	1121	121	1	146	6	1	128.49	193.22	318.39	240.38	315.23	311.09
2104	1021	1121	121	1	146	6	1	286.68	351.29	392.91	145.14	219.29	226.8
2105	1021	1121	121	1	146	6	1	331.08	234.56	449.42	162.87	238.96	233.92
2106	1022	1122	121	1	141	6	2	243.95	336.78	241.91	18.75	94.75	90.93
2107	1022	1122	121	1	141	6	2	268.51	259.5	281.74	40.11	103.02	113.14
2108	1022	1122	121	1	141	6	2	159.11	78.6	200.41	70.23	145.03	137.21
2109	1022	1122	121	1	141	6	2	292.95	358.56	328.7	68.23	141.61	140.28
2110	1022	1122	121	1	141	6	2	372.01	477.03	373.91	30.59	103.78	102.81
2111	1023	1123	121	1	136	6	1	181.55	393.07	241.42	107.25	179.6	159.03
2112	1023	1123	121	1	136	6	1	485.6	433.81	608.11	167.66	249.5	224.64
2113	1023	1123	121	1	136	6	1	249.56	326.23	436.84	228.42	304.42	296.25
2114	1023	1123	121	1	136	6	1	200.47	289.51	109.59	-40.12	32.18	18.15
2115	1023	1123	121	1	136	6	1	161.59	196.64	217.67	97.4	176.38	153.26
2116	1024	1124	121	1	131	6	2	265.17	318.88	318.82	85.36	200.69	167.93
2117	1024	1124	121	1	131	6	2	228.22	438.5	368.21	170.77	280.98	250.08
2118	1024	1124	121	1	131	6	2	272.42	298.49	298.59	57.99	162.77	140.26
2119	1024	1124	121	1	131	6	2	397.92	545.8	353.75	-21.51	93.84	53.64
2120	1024	1124	121	1	131	6	2	144.11	271.89	274.5	157.16	268.84	233.1
2121	1025	1125	121	1	126	6	1	303.33	586.06	494.63	238.76	341.91	277.75
2122	1025	1125	121	1	126	6	1	347.02	459.14	459.39	146.73	251.76	182.72
2123	1025	1125	121	1	126	6	1	288.94	345.52	428.26	177.6	277.7	224.8
2124	1025	1125	121	1	126	6	1	180.34	64.41	68.68	-70.23	37.34	-27.51
2125	1025	1125	121	1	126	6	1	220.33	212.33	200.99	25.97	132.61	72.85
2126	1026	1126	102	2	101	1	2	274.06	496.85	356.06	106.96	193.7	173.47
2127	1026	1126	102	2	101	1	2	506.65	625.44	535.53	49.16	142.68	119.92
2128	1026	1126	102	2	101	1	2	242.94	332.9	335.58	121.28	201.28	195.22
2129	1026	1126	102	2	101	1	2	260.39	347.04	322.76	90.93	181.18	155.16
2130	1026	1126	102	2	101	1	2	319.93	393.44	273.12	-16.97	77.85	55.58
2131	1027	1127	102	2	106	1	1	100.75	94.56	75.23	17.94	113.02	65.76
2132	1027	1127	102	2	106	1	1	366.32	458.05	455.06	129.4	229.22	175.34
2133	1027	1127	102	2	106	1	1	270.29	232.4	265.06	41.24	140.31	90.01
2134	1027	1127	102	2	106	1	1	281.27	458.92	428.03	191.88	289.9	237.98
2135	1027	1127	102	2	106	1	1	267.5	520.52	463.59	244.67	347.83	293.42
2136	1028	1128	102	2	111	1	2	351.43	537.02	396.03	65.9	155.31	117.69
2137	1028	1128	102	2	111	1	2	221	390.08	242.75	47.31	137.86	97.42
2138	1028	1128	102	2	111	1	2	206.43	453.52	284.07	97.3	193.13	149.97
2139	1028	1128	102	2	111	1	2	179.88	395.92	278.63	127.74	217.4	177.98
2140	1028	1128	102	2	111	1	2	468.06	609.01	497.05	55.26	147.63	106.57
2141	1029	1129	102	2	116	1	1	197	231.01	377.22	221.28	282.75	283.65
2142	1029	1129	102	2	116	1	1	290.98	311.17	241.58	-6.8	52.12	61.03
2143	1029	1129	102	2	116	1	1	278.62	274.55	371.21	143.85	208.21	204.83
2144	1029	1129	102	2	116	1	1	285.3	322.75	404.91	157.46	220.01	225.26
2145	1029	1129	102	2	116	1	1	198.13	148.37	110.95	-45.07	28.12	18.98
2146	1030	1130	102	2	121	1	2	406.34	549.08	508.17	129.68	191.55	168.68
2147	1030	1130	102	2	121	1	2	237.37	259.35	272.65	70.23	142.51	119.22
2148	1030	1130	102	2	121	1	2	355.26	281.25	341.27	9.95	74.21	54.91
2149	1030	1130	102	2	121	1	2	134.76	180.02	231.83	128.77	197.53	173.46
2150	1030	1130	102	2	121	1	2	291.8	461.82	371.2	106.11	179.3	150.63
2151	1031	1131	107	2	102	2	1	121.15	202.69	220.87	141.62	260.2	183.62
2152	1031	1131	107	2	102	2	1	256.92	317.13	318.44	98.31	211.35	134.97
2153	1031	1131	107	2	102	2	1	303.82	430.39	350.44	96.36	228.13	146.23
2154	1031	1131	107	2	102	2	1	339.43	431.3	343.49	52.2	178.65	93.21
2155	1031	1131	107	2	102	2	1	227.45	310.07	277.02	93.16	217.76	132.25
2156	1032	1132	107	2	107	2	2	239.47	362.69	530.62	320.58	419.49	384.93
2157	1032	1132	107	2	107	2	2	310.54	481.33	491.34	209.92	319.3	275.6
2158	1032	1132	107	2	107	2	2	363.65	448.81	509.1	173.22	283.77	240.72
2159	1032	1132	107	2	107	2	2	314.2	466.85	440.03	152.69	261.69	223.72
2160	1032	1132	107	2	107	2	2	365.9	517.69	299.93	-35.27	70.43	33.36
2161	1033	1133	107	2	112	2	1	517.49	533.45	580.98	109.33	244.81	157.19
2162	1033	1133	107	2	112	2	1	308.59	276.76	149.76	-113.74	19.7	-59.08
2163	1033	1133	107	2	112	2	1	378.16	528.57	479.61	144.67	280.45	186.5
2164	1033	1133	107	2	112	2	1	283.68	336.31	308.94	65.72	195.81	119.96
2165	1033	1133	107	2	112	2	1	275.77	304.37	474.86	247.88	373.67	289.64
2166	1034	1134	107	2	117	2	2	230.42	304.42	139.16	-56.06	13.98	4.57
2167	1034	1134	107	2	117	2	2	324.67	432.24	372.76	73.14	140.6	139.06
2168	1034	1134	107	2	117	2	2	380.98	548.46	394.99	45.24	112.52	105.88
2169	1034	1134	107	2	117	2	2	285.45	412.14	370.74	120.84	187.97	181.11
2170	1034	1134	107	2	117	2	2	326.12	428.69	337.24	40.1	109.88	97.78
2171	1035	1135	107	2	122	2	1	423.67	406.15	605.23	225.93	359.58	286.54
2172	1035	1135	107	2	122	2	1	252.5	332.01	315.57	105.86	239.4	163.66
2173	1035	1135	107	2	122	2	1	442.91	669.67	503.57	107.22	239.96	173.28
2174	1035	1135	107	2	122	2	1	477.79	579.03	511.23	79.96	212.47	140.03
2175	1035	1135	107	2	122	2	1	336.32	360.2	363.19	75.34	212.15	136
2176	1036	1136	112	2	103	3	2	286.42	461.15	415.51	152.11	267.03	210.27
2177	1036	1136	112	2	103	3	2	337.54	372.3	385.48	77.34	187.88	129
2178	1036	1136	112	2	103	3	2	323.95	413.59	414.56	111.05	211.53	160.26
2179	1036	1136	112	2	103	3	2	343.21	384.78	437.85	125.84	234.12	176.75
2180	1036	1136	112	2	103	3	2	236.98	378.14	402.24	187.71	299.76	241.78
2181	1037	1137	112	2	108	3	1	322.96	339.66	204.03	-74.01	55.37	-15
2182	1037	1137	112	2	108	3	1	192.03	310.46	81.94	-65.29	73.96	-6.39
2183	1037	1137	112	2	108	3	1	321.27	382.91	347.27	67.39	200.62	128.4
2184	1037	1137	112	2	108	3	1	216.32	262.01	224.12	47.92	182.51	110.96
2185	1037	1137	112	2	108	3	1	470.39	527.9	524.02	93.38	225.57	155.49
2186	1038	1138	112	2	113	3	2	251.44	290.7	316.01	93.59	189.8	157.52
2187	1038	1138	112	2	113	3	2	277.58	181.79	354.59	96.35	181.87	159.52
2188	1038	1138	112	2	113	3	2	316.13	508.71	399.7	112.5	203.59	187.4
2189	1038	1138	112	2	113	3	2	312.56	397.26	381.08	95.59	191.62	161.16
2190	1038	1138	112	2	113	3	2	214.59	222.56	326.18	138.88	233.55	211.8
2191	1039	1139	112	2	118	3	1	494.84	532.86	563.8	119.57	262.61	187.85
2192	1039	1139	112	2	118	3	1	496.16	712.09	411.41	-36.14	95.01	35.7
2193	1039	1139	112	2	118	3	1	289.56	401.4	360.19	110.51	253	178.11
2194	1039	1139	112	2	118	3	1	350.26	380.58	388.8	71.25	209.63	142.11
2195	1039	1139	112	2	118	3	1	446.95	665.17	469.55	67.7	201.97	146.03
2196	1040	1140	112	2	123	3	2	272.32	502.01	195.54	-56.53	14.6	-9.31
2197	1040	1140	112	2	123	3	2	229.17	274.5	338.97	142.4	208.77	200.09
2198	1040	1140	112	2	123	3	2	282.46	408.06	308.48	59.26	132.3	110.48
2199	1040	1140	112	2	123	3	2	247.57	306.33	194.14	-23.31	48.56	24.46
2200	1040	1140	112	2	123	3	2	175.96	294.13	339.74	194.18	272.48	238.41
2201	1041	1141	117	2	104	4	1	251.33	354.86	439.06	230.33	365.16	296.94
2202	1041	1141	117	2	104	4	1	297.94	431.57	425	165.78	300.04	240.22
2203	1041	1141	117	2	104	4	1	276.36	494.83	349.91	124.57	258.93	198.1
2204	1041	1141	117	2	104	4	1	305.78	334.8	505.29	247.75	384.25	314.64
2205	1041	1141	117	2	104	4	1	262.78	254.35	375.76	152	286.72	227.17
2206	1042	1142	117	2	109	4	2	247.57	377.09	497.86	276.31	413.08	313.85
2207	1042	1142	117	2	109	4	2	232.06	370.68	340.02	128.04	262.35	178.55
2208	1042	1142	117	2	109	4	2	365.89	503.6	428.95	87.35	219.05	140.57
2209	1042	1142	117	2	109	4	2	314.66	399.69	364.77	80.34	218.51	125.68
2210	1042	1142	117	2	109	4	2	407.87	532.99	449.03	71.25	207.87	116.57
2211	1043	1143	117	2	114	4	1	363.23	439.14	336.07	15.1	123.93	69.88
2212	1043	1143	117	2	114	4	1	427.06	588.11	501.84	123.51	231.47	178.97
2213	1043	1143	117	2	114	4	1	252.21	241.83	285.76	73.96	180.4	135.11
2214	1043	1143	117	2	114	4	1	331.77	480.26	496.7	208.07	309.84	258.23
2215	1043	1143	117	2	114	4	1	312.02	319.71	375.53	113.7	219.67	168.37
2216	1044	1144	117	2	119	4	2	276	337.49	372.68	117.6	213.33	185.72
2217	1044	1144	117	2	119	4	2	410.37	444.8	668.1	291.07	379.31	363.33
2218	1044	1144	117	2	119	4	2	320.93	429.51	388.31	87.67	181.43	163.31
2219	1044	1144	117	2	119	4	2	219.67	226.28	305.46	118.08	208.3	188.94
2220	1044	1144	117	2	119	4	2	205.18	330.45	307.93	132.51	226.05	200.36
2221	1045	1145	117	2	124	4	1	213.12	239.94	122.47	-48	9.81	0.22
2222	1045	1145	117	2	124	4	1	295.15	433	481.86	223.5	289.62	259.18
2223	1045	1145	117	2	124	4	1	138.86	345.16	414.16	319.05	379.02	365.38
2224	1045	1145	117	2	124	4	1	114.77	281.35	57.88	-10.75	53.27	25.4
2225	1045	1145	117	2	124	4	1	283.09	512.35	241.92	5.88	73.93	51.68
2226	1046	1146	122	2	105	5	2	378.01	574.47	504.22	151.84	270.32	206.73
2227	1046	1146	122	2	105	5	2	354.58	603.22	422.54	89.76	212.67	154.22
2228	1046	1146	122	2	105	5	2	360.28	395.05	499.7	165.68	286.25	231.73
2229	1046	1146	122	2	105	5	2	405.54	476.62	549.12	170.09	289.36	236.32
2230	1046	1146	122	2	105	5	2	316.17	318.54	452.59	166.7	287.6	235.35
2231	1047	1147	122	2	110	5	1	367.12	398.18	553.04	225.04	318.8	277.4
2232	1047	1147	122	2	110	5	1	346.87	532.71	450.61	144.19	244.74	201.18
2233	1047	1147	122	2	110	5	1	419.6	588.52	649.16	269.24	363.86	338.06
2234	1047	1147	122	2	110	5	1	335.37	495.85	355.69	63.1	161.43	125.28
2235	1047	1147	122	2	110	5	1	429.12	418.07	496.24	103.74	199.69	162.22
2236	1048	1148	122	2	115	5	2	298.31	401.26	288.83	18.67	94.18	73.81
2237	1048	1148	122	2	115	5	2	220.63	273.02	146.97	-46.56	27.47	7.27
2238	1048	1148	122	2	115	5	2	315.74	213.41	305.48	17.75	90.23	77.7
2239	1048	1148	122	2	115	5	2	194.94	115.86	298.4	125.48	194.45	186.91
2240	1048	1148	122	2	115	5	2	309.51	380.21	376.74	106.04	183.11	165.41
2241	1049	1149	122	2	120	5	1	247	398.63	202.63	-1.51	73.3	40.19
2242	1049	1149	122	2	120	5	1	306.2	375.06	428.18	173.17	244.21	221.26
2243	1049	1149	122	2	120	5	1	191.9	280.29	83.89	-67.34	5.07	-22.26
2244	1049	1149	122	2	120	5	1	325.66	361.99	400.26	120.09	203.2	168.82
2245	1049	1149	122	2	120	5	1	303.54	399.64	463.98	205.39	269.08	251.31
2246	1050	1150	122	2	125	5	2	269.29	236.86	326.6	77.59	193.16	128.04
2247	1050	1150	122	2	125	5	2	442.19	447.08	465.77	48.43	173.76	100.98
2248	1050	1150	122	2	125	5	2	183.41	292.13	213.06	59.14	185.19	105.38
2249	1050	1150	122	2	125	5	2	281.21	273.38	347.79	89.95	220.68	136.53
2250	1050	1150	122	2	125	5	2	95.94	54.49	38.4	-36.6	87.85	11.72
2251	1001	1151	103	3	150	10	1	340.99	488.57	456.15	160.92	290.16	214.69
2252	1001	1151	103	3	150	10	1	320.36	448.62	347.62	66.37	191.5	130.15
2253	1001	1151	103	3	150	10	1	305.19	303.93	326.69	54.24	173.15	115.92
2254	1001	1151	103	3	150	10	1	297.02	383.74	355.18	97.81	217.05	159.05
2255	1001	1151	103	3	150	10	1	396.35	405.77	532.52	183.92	304.55	241.63
2256	1002	1152	103	3	145	10	2	290.23	462.32	309.97	49.99	120.27	93.43
2257	1002	1152	103	3	145	10	2	159.6	321.69	220.38	90.49	157.85	136.54
2258	1002	1152	103	3	145	10	2	240.8	397.24	289.06	68.1	139.04	114.37
2259	1002	1152	103	3	145	10	2	346.29	287.69	555.76	237.64	311.05	281.47
2260	1002	1152	103	3	145	10	2	131.59	78.95	259.17	154.1	226.38	196.9
2261	1003	1153	103	3	140	10	1	406.27	456.4	508.02	149.33	280.23	203.79
2262	1003	1153	103	3	140	10	1	293.84	471.61	482.72	224.46	358.21	284.14
2263	1003	1153	103	3	140	10	1	267.77	502.89	189.44	-38.72	103.79	19.85
2264	1003	1153	103	3	140	10	1	354.59	507.39	457.63	139.87	275.34	195.37
2265	1003	1153	103	3	140	10	1	425.36	675.79	482.49	101.43	237.62	157.39
2266	1004	1154	103	3	135	10	2	285.55	417.62	434.5	169.34	299.71	224.41
2267	1004	1154	103	3	135	10	2	350.69	482.88	307.46	-17.24	110.75	43.37
2268	1004	1154	103	3	135	10	2	293.58	355.65	415.48	152.3	278.3	205.11
2269	1004	1154	103	3	135	10	2	261.81	389.56	320.14	91.17	223.5	146.32
2270	1004	1154	103	3	135	10	2	227.02	491.18	399.25	199.18	325.53	259.31
2271	1005	1155	103	3	130	10	1	177.46	167.4	354.7	223.24	344.97	263.68
2272	1005	1155	103	3	130	10	1	173.02	243.84	339.07	205.21	333.85	249.06
2273	1005	1155	103	3	130	10	1	376.49	591.99	426.62	96.4	222.38	131.85
2274	1005	1155	103	3	130	10	1	152.87	192.19	283.79	172.66	300.66	209.82
2275	1005	1155	103	3	130	10	1	222.31	353.81	231.6	57.15	179.46	98.23
2276	1006	1156	108	3	149	9	2	245.7	248.74	346.58	126.28	203.18	172.44
2277	1006	1156	108	3	149	9	2	208.47	357.06	275.81	97.75	174.02	130.4
2278	1006	1156	108	3	149	9	2	217.75	351.85	199.08	14.61	83.75	52.25
2279	1006	1156	108	3	149	9	2	243.68	341	357.19	135.94	204.01	174.36
2280	1006	1156	108	3	149	9	2	178.58	251.03	241.46	89.02	164.63	122.87
2281	1007	1157	108	3	144	9	1	198.03	411.77	270.97	119.07	181.93	174.9
2282	1007	1157	108	3	144	9	1	298.27	439.06	400.79	148.01	220.62	207.27
2283	1007	1157	108	3	144	9	1	155.6	265.17	92.12	-26.08	39.11	24.2
2284	1007	1157	108	3	144	9	1	201.02	207.62	319.2	151.87	221.47	206.45
2285	1007	1157	108	3	144	9	1	223.53	416.1	352.12	171.75	240.02	226.08
2286	1008	1158	108	3	139	9	2	254.13	304.51	290.35	63.08	164.05	135.14
2287	1008	1158	108	3	139	9	2	282.38	429.14	463.35	205.4	310.55	286.5
2288	1008	1158	108	3	139	9	2	376.88	613.67	527.46	175.35	279.95	259.23
2289	1008	1158	108	3	139	9	2	261.96	445.29	266.01	39.63	149.53	120.66
2290	1008	1158	108	3	139	9	2	243.77	388.15	365.61	147.42	258.97	227.86
2291	1009	1159	108	3	134	9	1	286.34	314.27	200.95	-40.66	71.87	28.95
2292	1009	1159	108	3	134	9	1	370.23	430.3	432.23	109.47	209.77	190.06
2293	1009	1159	108	3	134	9	1	220.45	314.37	206.94	32.31	144.91	107.73
2294	1009	1159	108	3	134	9	1	99.11	209.61	253.42	205.11	309.46	278.61
2295	1009	1159	108	3	134	9	1	240.9	280.82	406.87	210.18	317.68	282.94
2296	1010	1160	108	3	129	9	2	182.75	271.98	335.52	180.92	302.65	241.08
2297	1010	1160	108	3	129	9	2	389.76	391.95	528.38	168.63	296.15	226.01
2298	1010	1160	108	3	129	9	2	333.94	363.6	360.93	53.3	179.42	112.61
2299	1010	1160	108	3	129	9	2	355.98	477.65	463.92	138.54	267.14	190.14
2300	1010	1160	108	3	129	9	2	327.49	404.64	422.36	120.75	250.71	174.47
2301	1011	1161	113	3	148	8	1	269.91	347.98	290.73	60.46	175.24	127.87
2302	1011	1161	113	3	148	8	1	298.36	372.81	262.92	5.22	126.24	69.58
2303	1011	1161	113	3	148	8	1	326.61	372.04	346.85	62.09	184.69	131.51
2304	1011	1161	113	3	148	8	1	334.38	326.16	411.85	119.98	239.12	188.51
2305	1011	1161	113	3	148	8	1	289.71	447.49	343.56	93.91	206.97	166
2306	1012	1162	113	3	143	8	2	132.36	234.91	145.7	41.11	115.95	91.93
2307	1012	1162	113	3	143	8	2	190.83	363.77	307.74	138.67	213.86	202.29
2308	1012	1162	113	3	143	8	2	201.28	225.18	337.95	168.25	243.2	222.23
2309	1012	1162	113	3	143	8	2	221.79	289.76	237.76	42.05	116.86	100.3
2310	1012	1162	113	3	143	8	2	205.76	359.04	91.82	-87.49	-13.39	-31.39
2311	1013	1163	113	3	138	8	1	354.5	584.46	543.58	233.19	338.53	278.91
2312	1013	1163	113	3	138	8	1	216.73	407.36	263.63	88.64	187.11	129.09
2313	1013	1163	113	3	138	8	1	340.51	637.94	375.89	80.74	177.24	121.14
2314	1013	1163	113	3	138	8	1	266.27	354.74	462.77	237.33	329.97	284.53
2315	1013	1163	113	3	138	8	1	249.92	354.34	197.73	-11.56	86.87	32.47
2316	1014	1164	113	3	133	8	2	236.62	242.19	181.72	-32.21	76.88	18.15
2317	1014	1164	113	3	133	8	2	351.72	547.88	457.01	126.62	238.79	179.27
2318	1014	1164	113	3	133	8	2	467.57	368.85	473.09	29.8	141.79	77.64
2319	1014	1164	113	3	133	8	2	333.87	457.74	466.77	166.08	274.02	218.8
2320	1014	1164	113	3	133	8	2	177.99	385.07	197.58	48.33	161.54	105.5
